TAX_DEED_NO,DEFENDANT,SITUS,AMOUNT,DATE,COUNTY
2024-TD-001955,JAMES & LINDA CHEN,8431 BAY BREEZE WAY ORLANDO FL 32836,$74300.00,2024-08-08,Orange
2024-TD-001501,ESTATE OF ELEANOR VANCE,3309 ROSEWOOD CT WINTER PARK FL 32792,$61800.00,2024-07-03,Orange
2024-TD-001248,RICHARD HAWKINS,1420 PINEWOOD DR ORLANDO FL 32808,$48250.00,2024-06-12,Orange
2024-TD-001622,MARCOS & SOFIA ALVAREZ,510 LAKE BREEZE DR APOPKA FL 32703,$29400.00,2024-07-17,Orange
2024-TD-001844,BEATRICE MONTGOMERY,220 W KALEY ST ORLANDO FL 32806,$18900.00,2024-08-01,Orange
2024-TD-008912,ROBERT & CLAIRE SULLIVAN,4502 W SAN RAFAEL ST TAMPA FL 33629,$92400.00,2024-07-25,Hillsborough
2024-TD-009041,ESTATE OF HENRY PATTERSON,11804 N 56TH ST TEMPLE TERRACE FL 33617,$54100.00,2024-08-02,Hillsborough
2024-TD-009188,DANIELLE KAUFMAN,2308 S ARMENIA AVE TAMPA FL 33629,$31750.00,2024-08-10,Hillsborough
2024-TD-004501,ANTHONY & GRACE VALENTINE,720 S OCEAN BLVD PALM BEACH FL 33480,$145000.00,2024-06-28,Palm Beach
2024-TD-004688,ESTATE OF ARTHUR STERLING,1410 N FEDERAL HWY LAKE WORTH FL 33460,$68900.00,2024-07-14,Palm Beach
2024-TD-004812,LUIS & MARIA HERNANDEZ,340 SW 8TH ST MIAMI FL 33130,$112000.00,2024-08-05,Miami-Dade
2024-TD-004990,EUGENE FITZPATRICK,1920 CORAL WAY MIAMI FL 33145,$43500.00,2024-08-12,Miami-Dade
