Project Name,Client Full Name,Project Type,Phase,Estimated Value,Contingency / Cap Fee,Incident / Sale Date,Filing Deadline,Court Docket URL,Docket Number,County,State,Legal Statute
GREGORY & EVELYN THATCHER — Tax Deed Surplus (2024-CA-008120),GREGORY & EVELYN THATCHER,Excess Proceeds Recovery,Intake & Docket Verification,"$215,000.00","$43,000.00",2024-07-09,Verify Court Record,https://ttc.lacounty.gov/,2024-CA-008120,Los Angeles,CA,Statutory Claim Procedure
VICTOR & MONICA REYES — Tax Deed Surplus (2024-CA-005210),VICTOR & MONICA REYES,Excess Proceeds Recovery,Intake & Docket Verification,"$184,000.00","$36,800.00",2024-07-16,Verify Court Record,https://www.sdttc.com/,2024-CA-005210,San Diego,CA,Statutory Claim Procedure
ESTATE OF CAROLINE DELGADO — Tax Deed Surplus (2024-CA-008640),ESTATE OF CAROLINE DELGADO,Excess Proceeds Recovery,Intake & Docket Verification,"$168,000.00","$33,600.00",2024-07-30,Verify Court Record,https://ttc.lacounty.gov/,2024-CA-008640,Los Angeles,CA,Statutory Claim Procedure
ANTHONY & GRACE VALENTINE — Tax Deed Surplus (2024-TD-004501),ANTHONY & GRACE VALENTINE,Excess Proceeds Recovery,Intake & Docket Verification,"$145,000.00","$29,000.00",2024-06-28,Verify Court Record,https://www.mypalmbeachclerk.com/,2024-TD-004501,Palm Beach,FL,Statutory Claim Procedure
DERRICK & ANGELA MORGAN — Tax Deed Surplus (2024-NC-003110),DERRICK & ANGELA MORGAN,Excess Proceeds Recovery,Intake & Docket Verification,"$138,000.00","$27,600.00",2024-07-25,Verify Court Record,https://www.nccourts.gov/locations/mecklenburg,2024-NC-003110,Mecklenburg,NC,Statutory Claim Procedure
MARCUS & ELEANOR JENKINS — Tax Deed Surplus (2024-GA-003810),MARCUS & ELEANOR JENKINS,Excess Proceeds Recovery,Intake & Docket Verification,"$134,000.00","$26,800.00",2024-07-02,Verify Court Record,https://www.fultonclerk.org/,2024-GA-003810,Fulton,GA,Statutory Claim Procedure
WILLIAM & MARY HOLLOWAY — Tax Deed Surplus (2024-TX-04812),WILLIAM & MARY HOLLOWAY,Excess Proceeds Recovery,Intake & Docket Verification,"$128,500.00","$32,125.00",2024-07-09,Verify Court Record,https://www.hcdistrictclerk.com/,2024-TX-04812,Harris,TX,Statutory Claim Procedure
FRANKLIN & JUDITH MERCER — Tax Deed Surplus (2024-TN-002190),FRANKLIN & JUDITH MERCER,Excess Proceeds Recovery,Intake & Docket Verification,"$126,000.00","$25,200.00",2024-07-16,Verify Court Record,https://chanceryclerkandmaster.nashville.gov/,2024-TN-002190,Davidson,TN,Statutory Claim Procedure
ESTATE OF DOUGLAS WINSLOW — Tax Deed Surplus (2024-CA-005780),ESTATE OF DOUGLAS WINSLOW,Excess Proceeds Recovery,Intake & Docket Verification,"$119,500.00","$23,900.00",2024-08-06,Verify Court Record,https://www.sdttc.com/,2024-CA-005780,San Diego,CA,Statutory Claim Procedure
ESTATE OF RAYMOND VAUGHN — Tax Deed Surplus (2024-GA-001550),ESTATE OF RAYMOND VAUGHN,Excess Proceeds Recovery,Intake & Docket Verification,"$118,000.00","$23,600.00",2024-08-13,Verify Court Record,https://www.cobbtax.org/,2024-GA-001550,Cobb,GA,Statutory Claim Procedure
HARRISON & CAROLINE VANCE — Tax Deed Surplus (2024-NC-001420),HARRISON & CAROLINE VANCE,Excess Proceeds Recovery,Intake & Docket Verification,"$114,500.00","$22,900.00",2024-07-18,Verify Court Record,https://www.nccourts.gov/locations/wake,2024-NC-001420,Wake,NC,Statutory Claim Procedure
LUIS & MARIA HERNANDEZ — Tax Deed Surplus (2024-TD-004812),LUIS & MARIA HERNANDEZ,Excess Proceeds Recovery,Intake & Docket Verification,"$112,000.00","$22,400.00",2024-08-05,Verify Court Record,https://www.miamidadeclerk.gov/,2024-TD-004812,Miami-Dade,FL,Statutory Claim Procedure
LAWRENCE & TINA BENNETT — Tax Deed Surplus (2024-TN-004110),LAWRENCE & TINA BENNETT,Excess Proceeds Recovery,Intake & Docket Verification,"$102,000.00","$20,400.00",2024-07-23,Verify Court Record,https://chancery.shelbycountytn.gov/,2024-TN-004110,Shelby,TN,Statutory Claim Procedure
ESTATE OF HAROLD CRAWFORD — Tax Deed Surplus (2024-GA-004120),ESTATE OF HAROLD CRAWFORD,Excess Proceeds Recovery,Intake & Docket Verification,"$96,500.00","$19,300.00",2024-07-16,Verify Court Record,https://www.fultonclerk.org/,2024-GA-004120,Fulton,GA,Statutory Claim Procedure
ESTATE OF WALTER STERLING — Tax Deed Surplus (2024-NC-003450),ESTATE OF WALTER STERLING,Excess Proceeds Recovery,Intake & Docket Verification,"$96,400.00","$19,280.00",2024-08-08,Verify Court Record,https://www.nccourts.gov/locations/mecklenburg,2024-NC-003450,Mecklenburg,NC,Statutory Claim Procedure
ROBERT & CLAIRE SULLIVAN — Tax Deed Surplus (2024-TD-008912),ROBERT & CLAIRE SULLIVAN,Excess Proceeds Recovery,Intake & Docket Verification,"$92,400.00","$18,480.00",2024-07-25,Verify Court Record,https://www.hillsclerk.com/,2024-TD-008912,Hillsborough,FL,Statutory Claim Procedure
ESTATE OF SAMUEL KAUFMAN — Tax Deed Surplus (2024-NC-001890),ESTATE OF SAMUEL KAUFMAN,Excess Proceeds Recovery,Intake & Docket Verification,"$88,200.00","$17,640.00",2024-08-01,Verify Court Record,https://www.nccourts.gov/locations/wake,2024-NC-001890,Wake,NC,Statutory Claim Procedure
ESTATE OF CHARLES BEAUMONT — Tax Deed Surplus (2024-TX-04950),ESTATE OF CHARLES BEAUMONT,Excess Proceeds Recovery,Intake & Docket Verification,"$86,200.00","$21,550.00",2024-07-16,Verify Court Record,https://www.hcdistrictclerk.com/,2024-TX-04950,Harris,TX,Statutory Claim Procedure
ESTATE OF GLORIA CHANDLER — Tax Deed Surplus (2024-TN-002840),ESTATE OF GLORIA CHANDLER,Excess Proceeds Recovery,Intake & Docket Verification,"$84,500.00","$16,900.00",2024-08-06,Verify Court Record,https://chanceryclerkandmaster.nashville.gov/,2024-TN-002840,Davidson,TN,Statutory Claim Procedure
TERRENCE & MONICA BRADLEY — Tax Deed Surplus (2024-GA-002490),TERRENCE & MONICA BRADLEY,Excess Proceeds Recovery,Intake & Docket Verification,"$82,400.00","$16,480.00",2024-08-06,Verify Court Record,https://www.dekalbcountytax.org/,2024-GA-002490,Dekalb,GA,Statutory Claim Procedure
ESTATE OF MARGARET THORNTON — Tax Deed Surplus (2024-TX-02044),ESTATE OF MARGARET THORNTON,Excess Proceeds Recovery,Intake & Docket Verification,"$77,800.00","$19,450.00",2024-08-13,Verify Court Record,https://www.dallascounty.org/,2024-TX-02044,Dallas,TX,Statutory Claim Procedure
JAMES & LINDA CHEN — Tax Deed Surplus (2024-TD-001955),JAMES & LINDA CHEN,Excess Proceeds Recovery,Intake & Docket Verification,"$74,300.00","$14,860.00",2024-08-08,Verify Court Record,https://www.myorangeclerk.com/,2024-TD-001955,Orange,FL,Statutory Claim Procedure
ESTATE OF BERNARD HAYES — Tax Deed Surplus (2024-TN-004550),ESTATE OF BERNARD HAYES,Excess Proceeds Recovery,Intake & Docket Verification,"$71,800.00","$14,360.00",2024-08-13,Verify Court Record,https://chancery.shelbycountytn.gov/,2024-TN-004550,Shelby,TN,Statutory Claim Procedure
ESTATE OF ARTHUR STERLING — Tax Deed Surplus (2024-TD-004688),ESTATE OF ARTHUR STERLING,Excess Proceeds Recovery,Intake & Docket Verification,"$68,900.00","$13,780.00",2024-07-14,Verify Court Record,https://www.mypalmbeachclerk.com/,2024-TD-004688,Palm Beach,FL,Statutory Claim Procedure
VICTORIA STRICKLAND — Tax Deed Surplus (2024-GA-001920),VICTORIA STRICKLAND,Excess Proceeds Recovery,Intake & Docket Verification,"$67,800.00","$13,560.00",2024-07-23,Verify Court Record,https://www.gwinnetttaxcommissioner.com/,2024-GA-001920,Gwinnett,GA,Statutory Claim Procedure
PATRICIA HOLLOWAY — Tax Deed Surplus (2024-NC-002100),PATRICIA HOLLOWAY,Excess Proceeds Recovery,Intake & Docket Verification,"$64,500.00","$12,900.00",2024-07-11,Verify Court Record,https://www.nccourts.gov/locations/durham,2024-NC-002100,Durham,NC,Statutory Claim Procedure
ESTATE OF ELEANOR VANCE — Tax Deed Surplus (2024-TD-001501),ESTATE OF ELEANOR VANCE,Excess Proceeds Recovery,Intake & Docket Verification,"$61,800.00","$12,360.00",2024-07-03,Verify Court Record,https://www.myorangeclerk.com/,2024-TD-001501,Orange,FL,Statutory Claim Procedure
GEORGE & DOROTHY WASHINGTON — Tax Deed Surplus (2024-TX-01928),GEORGE & DOROTHY WASHINGTON,Excess Proceeds Recovery,Intake & Docket Verification,"$59,400.00","$14,850.00",2024-07-23,Verify Court Record,https://www.dallascounty.org/,2024-TX-01928,Dallas,TX,Statutory Claim Procedure
ESTATE OF HENRY PATTERSON — Tax Deed Surplus (2024-TD-009041),ESTATE OF HENRY PATTERSON,Excess Proceeds Recovery,Intake & Docket Verification,"$54,100.00","$10,820.00",2024-08-02,Verify Court Record,https://www.hillsclerk.com/,2024-TD-009041,Hillsborough,FL,Statutory Claim Procedure
RICHARD HAWKINS — Tax Deed Surplus (2024-TD-001248),RICHARD HAWKINS,Excess Proceeds Recovery,Intake & Docket Verification,"$48,250.00","$9,650.00",2024-06-12,Verify Court Record,https://www.myorangeclerk.com/,2024-TD-001248,Orange,FL,Statutory Claim Procedure
EUGENE FITZPATRICK — Tax Deed Surplus (2024-TD-004990),EUGENE FITZPATRICK,Excess Proceeds Recovery,Intake & Docket Verification,"$43,500.00","$8,700.00",2024-08-12,Verify Court Record,https://www.miamidadeclerk.gov/,2024-TD-004990,Miami-Dade,FL,Statutory Claim Procedure
RAFAEL GUERRERO — Tax Deed Surplus (2024-TX-05110),RAFAEL GUERRERO,Excess Proceeds Recovery,Intake & Docket Verification,"$41,300.00","$10,325.00",2024-08-06,Verify Court Record,https://www.hcdistrictclerk.com/,2024-TX-05110,Harris,TX,Statutory Claim Procedure
DANIELLE KAUFMAN — Tax Deed Surplus (2024-TD-009188),DANIELLE KAUFMAN,Excess Proceeds Recovery,Intake & Docket Verification,"$31,750.00","$6,350.00",2024-08-10,Verify Court Record,https://www.hillsclerk.com/,2024-TD-009188,Hillsborough,FL,Statutory Claim Procedure
MARCOS & SOFIA ALVAREZ — Tax Deed Surplus (2024-TD-001622),MARCOS & SOFIA ALVAREZ,Excess Proceeds Recovery,Intake & Docket Verification,"$29,400.00","$5,880.00",2024-07-17,Verify Court Record,https://www.myorangeclerk.com/,2024-TD-001622,Orange,FL,Statutory Claim Procedure
BEATRICE MONTGOMERY — Tax Deed Surplus (2024-TD-001844),BEATRICE MONTGOMERY,Excess Proceeds Recovery,Intake & Docket Verification,"$18,900.00","$3,780.00",2024-08-01,Verify Court Record,https://www.myorangeclerk.com/,2024-TD-001844,Orange,FL,Statutory Claim Procedure
