State,County,Case_or_TaxDeed_No,Owner_Name,Entity_Type,Is_Individual,Heir_Search_Recommended,Property_Address,Property_Type,Surplus_Balance_USD,Statutory_Fee_Rate,Est_Finder_Fee_USD,Opportunity_Tier,Sale_Date,Days_Remaining_To_Claim,Claim_Urgency_Tier,Statutory_Deadline_Window,Clerk_Verification_URL,Governing_Statute,Enriched_Timestamp
FL,Palm Beach,2024-TD-004501,ANTHONY & GRACE VALENTINE,Individual / Estate,True,False,720 S OCEAN BLVD PALM BEACH FL 33480,Single Family Residential,145000.0,20%,29000.0,Tier 1: High Value ($25k+),2024-06-28,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.mypalmbeachclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
GA,Fulton,2024-GA-003810,MARCUS & ELEANOR JENKINS,Individual / Estate,True,False,1420 PEACHTREE ST NE ATLANTA GA 30309,Single Family Residential,134000.0,20%,26800.0,Tier 1: High Value ($25k+),2024-07-02,1020,Tier 3: Active Claim Window (> 120 Days),5 Years from Sale (O.C.G.A. § 48-4-5),https://www.fultonclerk.org/,O.C.G.A. § 48-4-5,2026-09-15 12:58:48
TX,Harris,2024-TX-04812,WILLIAM & MARY HOLLOWAY,Individual / Estate,True,False,5402 BRAESVALLEY DR HOUSTON TX 77096,Single Family Residential,128500.0,25%,32125.0,Tier 1: High Value ($25k+),2024-07-09,0,Expired / Time-Barred,2 Years from Sale (Tex. Tax Code § 34.04),https://www.hcdistrictclerk.com/,Tex. Tax Code § 34.04,2026-09-15 12:58:48
GA,Cobb,2024-GA-001550,ESTATE OF RAYMOND VAUGHN,Estate / Deceased,True,True,1205 ROSWELL RD MARIETTA GA 30062,Single Family Residential,118000.0,20%,23600.0,Tier 1: High Value ($25k+),2024-08-13,1062,Tier 3: Active Claim Window (> 120 Days),5 Years from Sale (O.C.G.A. § 48-4-5),https://www.cobbtax.org/,O.C.G.A. § 48-4-5,2026-09-15 12:58:48
FL,Miami-Dade,2024-TD-004812,LUIS & MARIA HERNANDEZ,Individual / Estate,True,False,340 SW 8TH ST MIAMI FL 33130,Single Family Residential,112000.0,20%,22400.0,Tier 1: High Value ($25k+),2024-08-05,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.miamidadeclerk.gov/,Fla. Stat. § 197.582,2026-09-15 12:58:48
GA,Fulton,2024-GA-004120,ESTATE OF HAROLD CRAWFORD,Estate / Deceased,True,True,892 CASCADE AVE SW ATLANTA GA 30310,Single Family Residential,96500.0,20%,19300.0,Tier 1: High Value ($25k+),2024-07-16,1034,Tier 3: Active Claim Window (> 120 Days),5 Years from Sale (O.C.G.A. § 48-4-5),https://www.fultonclerk.org/,O.C.G.A. § 48-4-5,2026-09-15 12:58:48
FL,Hillsborough,2024-TD-008912,ROBERT & CLAIRE SULLIVAN,Individual / Estate,True,False,4502 W SAN RAFAEL ST TAMPA FL 33629,Single Family Residential,92400.0,20%,18480.0,Tier 1: High Value ($25k+),2024-07-25,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.hillsclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
TX,Harris,2024-TX-04950,ESTATE OF CHARLES BEAUMONT,Estate / Deceased,True,True,1802 HEIGHTS BLVD HOUSTON TX 77008,Single Family Residential,86200.0,25%,21550.0,Tier 1: High Value ($25k+),2024-07-16,0,Expired / Time-Barred,2 Years from Sale (Tex. Tax Code § 34.04),https://www.hcdistrictclerk.com/,Tex. Tax Code § 34.04,2026-09-15 12:58:48
GA,Dekalb,2024-GA-002490,TERRENCE & MONICA BRADLEY,Individual / Estate,True,False,2340 LAVISTA RD DECATUR GA 30033,Single Family Residential,82400.0,20%,16480.0,Tier 1: High Value ($25k+),2024-08-06,1055,Tier 3: Active Claim Window (> 120 Days),5 Years from Sale (O.C.G.A. § 48-4-5),https://www.dekalbcountytax.org/,O.C.G.A. § 48-4-5,2026-09-15 12:58:48
TX,Dallas,2024-TX-02044,ESTATE OF MARGARET THORNTON,Estate / Deceased,True,True,6412 ABRAMS RD DALLAS TX 75231,Single Family Residential,77800.0,25%,19450.0,Tier 1: High Value ($25k+),2024-08-13,0,Expired / Time-Barred,2 Years from Sale (Tex. Tax Code § 34.04),https://www.dallascounty.org/,Tex. Tax Code § 34.04,2026-09-15 12:58:48
