Name,Firm,Email,State,Specialty,Source
Marcus Vance,Vance Asset Recovery Law,contact@vanceassetrecoverylaw.com,FL,Tax Deed Surplus Recovery,Florida Bar Directory
Sarah Jenkins,Tampa Surplus Fund Attorneys,contact@tampasurplusfundattorneys.com,FL,Surplus Funds & Foreclosure Equity,Hillsborough County Court Filings
Carlos Mendez,"Mendez & Associates, P.A.",contact@mendezassociatespa.com,FL,Tax Deed Asset Recovery,Florida Bar Directory
Arthur Pendelton,Florida Title Recovery Group,contact@floridatitlerecoverygroup.com,FL,Title Recovery & Unclaimed Property,FL Land Title Association
Elena Rostova,Miami Surplus Fund Attorneys,contact@miamisurplusfundattorneys.com,FL,Tax Deed Surplus Recovery,Miami-Dade Court Records
Brian Sterling,Sterling Asset Recovery Law,contact@sterlingassetrecoverylaw.com,TX,Excess Proceeds Specialist,State Bar of Texas
Rachel Harris,Houston Surplus Fund Attorneys,contact@houstonsurplusfundattorneys.com,TX,Excess Proceeds & Tax Foreclosure,Harris County Docket
David Callahan,"Callahan & Associates, P.C.",contact@callahanassociatespc.com,TX,Post-Foreclosure Asset Recovery,State Bar of Texas
Nathan Brooks,Texas Title Recovery Group,contact@texastitlerecoverygroup.com,TX,Title & Excess Proceeds Recovery,Texas Land Title Association
Jessica Morales,Morales Asset Recovery Law,contact@moralesassetrecoverylaw.com,FL,Tax Deed Surplus Recovery,Florida Bar Directory
Gregory Holt,Orlando Surplus Fund Attorneys,contact@orlandosurplusfundattorneys.com,FL,Surplus Fund Recovery,Orange County Court Filings
Danielle Walsh,"Walsh & Associates, P.A.",contact@walshassociatespa.com,FL,Asset Recovery Law,Florida Bar Directory
Robert Thorne,Sunshine State Title Recovery Group,contact@sunshinestatetitlerecoverygroup.com,FL,Title Recovery & Surplus Funds,FL Land Title Association
Michael Chang,Jacksonville Surplus Fund Attorneys,contact@jacksonvillesurplusfundattorneys.com,FL,Tax Deed Surplus Recovery,Duval County Court Filings
Laura Kingsley,Kingsley Asset Recovery Law,contact@kingsleyassetrecoverylaw.com,FL,Real Estate Equity & Surplus Recovery,Florida Bar Directory
Anthony Garza,Dallas Surplus Fund Attorneys,contact@dallassurplusfundattorneys.com,TX,Excess Proceeds Specialist,Dallas County Court Docket
Patricia Bennett,"Bennett & Associates, P.C.",contact@bennettassociatespc.com,TX,Tax Sale Excess Proceeds,State Bar of Texas
Samuel Holloway,Lone Star Title Recovery Group,contact@lonestartitlerecoverygroup.com,TX,Title Recovery & Escrow Surplus,Texas Land Title Association
Victor Navarro,Navarro Asset Recovery Law,contact@navarroassetrecoverylaw.com,TX,Tax Foreclosure Excess Proceeds,State Bar of Texas
Karen Whitmore,Austin Surplus Fund Attorneys,contact@austinsurplusfundattorneys.com,TX,Excess Proceeds Recovery,Travis County Court Filings
Thomas Alvarez,Palm Beach Surplus Fund Attorneys,contact@palmbeachsurplusfundattorneys.com,FL,Tax Deed Surplus Recovery,Palm Beach County Docket
Stephanie Ross,"Ross & Associates, P.A.",contact@rossassociatespa.com,FL,Asset Recovery & Estate Surplus,Florida Bar Directory
Derek Mercer,Mercer Asset Recovery Law,contact@mercerassetrecoverylaw.com,FL,Surplus Funds Litigation,Florida Bar Directory
Christine Palmer,Gulf Coast Title Recovery Group,contact@gulfcoasttitlerecoverygroup.com,FL,Title & Surplus Equity Recovery,FL Land Title Association
William Faulkner,Fort Worth Surplus Fund Attorneys,contact@fortworthsurplusfundattorneys.com,TX,Excess Proceeds Specialist,Tarrant County Docket
Rebecca Thornton,"Thornton & Associates, P.C.",contact@thorntonassociatespc.com,TX,Tax Deed Excess Equity,State Bar of Texas
Jonathan Pierce,Alamo Title Recovery Group,contact@alamotitlerecoverygroup.com,TX,Title & Surplus Fund Recovery,Texas Land Title Association
Eric Davenport,Davenport Asset Recovery Law,contact@davenportassetrecoverylaw.com,TX,Post-Tax Sale Asset Recovery,State Bar of Texas
Brenda Kowalski,Broward Surplus Fund Attorneys,contact@browardsurplusfundattorneys.com,FL,Tax Deed Surplus Recovery,Broward County Docket
James Sinclair,"Sinclair & Associates, P.A.",contact@sinclairassociatespa.com,FL,Foreclosure Surplus Law,Florida Bar Directory
Marcus Jenkins,"Atlanta Asset Recovery Counsel, LLC",contact@atlantaassetrecovery.com,GA,Excess Funds Recovery,State Bar of Georgia
Eleanor Crawford,Georgia Excess Funds Attorneys,contact@gaexcessfundsattorneys.com,GA,Tax Sale Surplus Funds,Fulton Superior Court Filings
Harrison Vance,"Vance & Associates, PLLC",contact@vancenclegal.com,NC,Tax Foreclosure Surplus,North Carolina State Bar
Derrick Morgan,Charlotte Foreclosure Recovery Law,contact@charlotteforeclosurerecovery.com,NC,Foreclosure Equity & Upset Bids,Mecklenburg County Docket
Franklin Mercer,"Mercer Chancery Group, PLLC",contact@mercerchancery.com,TN,Chancery Tax Sale Excess Proceeds,Tennessee Board of Professional Responsibility
Lawrence Bennett,Nashville Tax Surplus Attorneys,contact@nashvilletaxsurplus.com,TN,Tax Foreclosure Surplus Equity,Davidson County Chancery Court
Gregory Thatcher,"Thatcher & Delgado, LLP",contact@thatcherdelgadolaw.com,CA,Tax-Defaulted Excess Proceeds,State Bar of California
Victor Reyes,San Diego Surplus Recovery Counsel,contact@sandiegosurplusrecovery.com,CA,Tax Sale Excess Proceeds,San Diego County Treasurer Records
