Timestamp,Email,Name,Firm,State,Subject,Status,Mode,Output_File
2026-08-22T08:16:29.982338,contact@vanceassetrecoverylaw.com,Marcus Vance,Vance Asset Recovery Law,FL,Verified Florida surplus leads for Vance Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_vanceassetrecoverylaw.com.txt
2026-08-22T08:16:29.982491,contact@tampasurplusfundattorneys.com,Sarah Jenkins,Tampa Surplus Fund Attorneys,FL,Verified Florida surplus leads for Tampa Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_tampasurplusfundattorneys.com.txt
2026-08-22T08:16:29.982700,contact@mendezassociatespa.com,Carlos Mendez,"Mendez & Associates, P.A.",FL,"Verified Florida surplus leads for Mendez & Associates, P.A. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_mendezassociatespa.com.txt
2026-08-22T08:16:29.982791,contact@floridatitlerecoverygroup.com,Arthur Pendelton,Florida Title Recovery Group,FL,Verified Florida surplus leads for Florida Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_floridatitlerecoverygroup.com.txt
2026-08-22T08:16:29.982872,contact@miamisurplusfundattorneys.com,Elena Rostova,Miami Surplus Fund Attorneys,FL,Verified Florida surplus leads for Miami Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_miamisurplusfundattorneys.com.txt
2026-08-22T08:16:29.982952,contact@sterlingassetrecoverylaw.com,Brian Sterling,Sterling Asset Recovery Law,TX,Verified Texas surplus leads for Sterling Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_sterlingassetrecoverylaw.com.txt
2026-08-22T08:16:29.983034,contact@houstonsurplusfundattorneys.com,Rachel Harris,Houston Surplus Fund Attorneys,TX,Verified Texas surplus leads for Houston Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_houstonsurplusfundattorneys.com.txt
2026-08-22T08:16:29.983122,contact@callahanassociatespc.com,David Callahan,"Callahan & Associates, P.C.",TX,"Verified Texas surplus leads for Callahan & Associates, P.C. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_callahanassociatespc.com.txt
2026-08-22T08:16:29.983207,contact@texastitlerecoverygroup.com,Nathan Brooks,Texas Title Recovery Group,TX,Verified Texas surplus leads for Texas Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_texastitlerecoverygroup.com.txt
2026-08-22T08:16:29.983289,contact@moralesassetrecoverylaw.com,Jessica Morales,Morales Asset Recovery Law,FL,Verified Florida surplus leads for Morales Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_moralesassetrecoverylaw.com.txt
2026-08-22T08:16:29.983368,contact@orlandosurplusfundattorneys.com,Gregory Holt,Orlando Surplus Fund Attorneys,FL,Verified Florida surplus leads for Orlando Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_orlandosurplusfundattorneys.com.txt
2026-08-22T08:16:29.983450,contact@walshassociatespa.com,Danielle Walsh,"Walsh & Associates, P.A.",FL,"Verified Florida surplus leads for Walsh & Associates, P.A. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_walshassociatespa.com.txt
